,inter_sent_economic_activity_x_gdp,inter_sent_financial_conditions_x_vix,inter_sent_labor_market_x_unemployment_gap,inter_sent_monetary_policy_x_implied_ffr,inter_sent_inflation_x_inflation_dev_from_target,inter_sent_macro_x_cfnai
103,-233713.3032917027,-47.631944129728694,-11.259003725235326,-33.38158999662777,15.239556087374044,3.90714908026344
104,48248.812545280176,-148.22005709823026,0.09387028282946785,-21.23567631852041,2.9557562048463746,0.43321698784996576
105,-175820.99053725242,-295.62994149663024,-1.4524933358118333,-15.187725330386572,3.0810078998386627,9.144096268385255
106,-173457.89433932825,-656.7158281583979,3.8652008129642477,-12.108603244986861,3.150031348771216,20.150504018097376
107,-202622.98733114311,-395.23707915335615,0.29631973664812994,-0.726951956240346,2.6870032649415476,83.71238361406245
108,-167503.251541655,-317.19008625132096,-37.706121337029415,-0.8721544870071005,12.70121470301638,-73.01033067611404
109,-174306.99027427676,-126.42328026669338,-56.98481580922412,-1.1056588026488308,13.880809237416491,-24.159922237240277
110,26760.14781330215,-265.21307507902446,-46.925587503413695,-2.2505878216155573,11.499067106840382,-5.647491865519627
111,-186103.4122617053,-462.31779757462346,-61.54904207797829,-2.857626624841625,10.073424389520694,-3.921478408853031
112,-86834.4973687429,-98.53526899075986,-26.70678639354223,-1.1551445429072327,8.31936744046853,-1.6214525920402008
113,-183632.1934121164,-110.67863956372972,-32.253542300576164,-1.0603286815597268,11.274414505968517,-5.9441362690747805
114,147209.24899790584,-179.63389820357398,-30.321928444021985,-1.6134536383203986,7.465480025305249,-12.829998357048167
115,-184862.882041924,-175.9323037163373,-6.304600853297491,-1.4555456368398019,0.3018796049521502,-1.053162594643371
116,82940.10135031815,37.97834033665729,-14.494816498562868,-1.7087771703829215,-5.648826118962607,1.3702149492520124
117,7933.373630551474,-142.41921433548342,-1.6052303834122632,-0.8889021284536521,-3.644615584437738,-4.389498025428956
118,-55291.50204877665,-105.74626998492191,-2.4702359110990413,-0.6173786103901938,-8.833391771752904,0.8543429979545146
119,-218991.86801982683,-149.31989738618813,0.7591854414059908,-0.03974969384589875,-4.3202110454289455,2.2527283368198225
120,8338.120370733099,-254.7191671495752,-0.8356794782201511,0.1314760875406618,11.570022871917667,-0.44188132760696525
121,-12814.444386056302,-4.394535763812423,-2.9860039033071195,0.41588830833596724,17.056334315437002,0.13195286648076293
122,-128345.27346468205,-164.7420042637377,-8.5749560161666,3.6201714700758476,37.86578714081416,-1.7856286253726317
123,-3211.215067501635,-232.6307663903969,-7.853480910261365,10.58711183432414,36.25843274786642,5.689893001203926e-17
124,-101017.58667211277,-292.5347861000194,-1.3645940298891253,22.797793818849946,17.805658611963057,-0.3433163402087842
125,-3590.429450330934,-310.46334682869735,3.320207170447053,45.22589124038495,31.313870863691417,-0.549306144334055
126,-143649.3340856026,-230.19155178020338,-1.5396058144459646,46.85108059253582,41.697602205856164,-0.0
127,-135121.3098115392,-322.975186745187,-0.17953921539193082,56.12719273737264,42.35052511888556,1.952017264083288
128,-299048.52821015776,-109.89848547777935,4.148491995754239,93.86586938398148,33.78865803015131,1.4288213236281002
129,22642.049479751484,-2.128991141379103,-2.5489557548663995,84.28140575225228,13.522186418441258,0.9630707147100794
