t,date,y,yh,yh_b,hi_flag_elevated_wid,hi_flag_skew_up,hi_flag_skew_down,loss_diff_flag_elevated_wid,loss_diff_flag_skew_up,loss_diff_flag_skew_down
129,2023-03-22,0.40999999999999925,0.35647954032499274,0.2043217810650114,True,True,True,0.0394390901404448,0.0394390901404448,0.0394390901404448
130,2023-05-03,0.020000000000000462,0.19314139177558706,0.208267737149198,True,True,True,0.005466799305292168,0.005466799305292168,0.005466799305292168
131,2023-06-14,0.040000000000000036,0.23283835864118796,0.15399603721639168,True,True,True,-0.02419153606238647,-0.02419153606238647,-0.02419153606238647
132,2023-07-26,0.20999999999999996,0.18169779831557012,0.19238141259237468,True,True,True,-0.0004905999979460114,-0.0004905999979460114,-0.0004905999979460114
133,2023-09-20,0.0,0.011377579989070422,0.05420561849191611,True,True,False,0.002808799749683462,0.002808799749683462,0.002808799749683462
134,2023-11-01,0.0,0.22786700308685248,0.029435128766192965,True,True,True,-0.05105694429030128,-0.05105694429030128,-0.05105694429030128
135,2023-12-13,0.0,0.03993134403027869,0.001413859824473375,True,True,True,-0.0015925132364612137,-0.0015925132364612137,-0.0015925132364612137
136,2024-01-31,0.0,-0.15255730322346486,-0.07410022712608982,False,True,False,-0.017782887106678105,-0.017782887106678105,-0.017782887106678105
137,2024-03-20,0.0,-0.055532074369895226,-0.09839844904741935,True,True,True,0.006598443491114006,0.006598443491114006,0.006598443491114006
138,2024-05-01,0.0,0.0425049491844145,-0.07167404970388046,True,True,True,0.003330498695784668,0.003330498695784668,0.003330498695784668
139,2024-06-12,0.0,-0.13530287509761516,-0.0585207360321765,True,True,True,-0.014882191463933166,-0.014882191463933166,-0.014882191463933166
140,2024-07-31,-0.20000000000000018,-0.1306448526258938,-0.03614658798707328,True,True,True,0.022037804160993966,0.022037804160993966,0.022037804160993966
141,2024-09-18,-0.4900000000000002,-0.2639782524541337,-0.09100753815651012,False,False,False,0.10810915424424147,0.10810915424424147,0.10810915424424147
142,2024-11-07,-0.15999999999999925,-0.25164631978896096,-0.018931259752644536,True,True,True,0.011501341544115003,0.011501341544115003,0.011501341544115003
143,2024-12-18,-0.15000000000000036,-0.2982186775318307,-0.03703783126097711,True,False,False,-0.009208324803061142,-0.009208324803061142,-0.009208324803061142
144,2025-01-29,0.0,-0.19283045844802296,-0.07339131145338565,True,True,False,-0.03179730110842686,-0.03179730110842686,-0.03179730110842686
145,2025-03-19,0.0,0.021889024488210534,-0.07594049762804395,True,True,True,0.005287829786949467,0.005287829786949467,0.005287829786949467
146,2025-05-07,0.0,-0.15872796310290038,-0.05479877570897877,True,True,True,-0.022191660451592744,-0.022191660451592744,-0.022191660451592744
147,2025-06-18,0.0,-0.1312780647434161,-0.05033564141500159,True,True,True,-0.014700253486116928,-0.014700253486116928,-0.014700253486116928
148,2025-07-30,-0.11000000000000032,-0.0029034308256917045,-0.013467764462655935,True,True,False,-0.0021512026310701367,-0.0021512026310701367,-0.0021512026310701367
149,2025-09-17,-0.1299999999999999,-0.19820759229678908,0.002601872915718173,True,True,True,0.012930981053831227,0.012930981053831227,0.012930981053831227
150,2025-10-29,-0.36999999999999966,-0.17410816083679753,0.03728526926053709,True,True,True,0.12750767790588607,0.12750767790588607,0.12750767790588607
